"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","guest cant see success message after adding product to basket","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","0","guest cant see product in basket opened from product page","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","418","guest should see login link","tests","Sat Oct 25 23:38:47 GMT 2025","passed","Sat Oct 25 23:38:47 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"","4724","guest cant see product in basket opened from main page","tests","Sat Oct 25 23:38:55 GMT 2025","passed","Sat Oct 25 23:38:59 GMT 2025","TestMainPageGuest","test_main_page","",""
"","0","guest can add product to basket","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","0","guest can see review form after click on write review button","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","0","guest can add product to basket","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","0","guest can add product to basket","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","0","guest can add product to basket","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","0","guest can add product to basket","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","303","guest should see login form","tests","Sat Oct 25 23:38:41 GMT 2025","passed","Sat Oct 25 23:38:42 GMT 2025","TestLoginPage","test_login_page","",""
"","716","user can see promo items","tests","Sat Oct 25 23:38:54 GMT 2025","passed","Sat Oct 25 23:38:54 GMT 2025","TestMainPageUserAuthorized","test_main_page","",""
"","0","guest can add product to basket","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","0","guest can add product to basket","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","0","guest can add product to basket","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","0","message disappeared after adding product to basket","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","587","guest can go to login page","tests","Sat Oct 25 23:38:48 GMT 2025","passed","Sat Oct 25 23:38:48 GMT 2025","TestLoginFromMainPage","test_main_page","",""
"","0","guest can add product to basket","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","4807","user cant see success message","tests","Sat Oct 25 23:39:03 GMT 2025","passed","Sat Oct 25 23:39:08 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"","353","guest should see registration form","tests","Sat Oct 25 23:38:41 GMT 2025","passed","Sat Oct 25 23:38:41 GMT 2025","TestLoginPage","test_login_page","",""
"","1673","guest can log in","tests","Sat Oct 25 23:38:45 GMT 2025","passed","Sat Oct 25 23:38:46 GMT 2025","TestLoginPage","test_login_page","",""
"","0","guest cant see success message","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","0","guest can add product to basket","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","0","guest should see login link on product page","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","1847","guest can register","tests","Sat Oct 25 23:38:42 GMT 2025","passed","Sat Oct 25 23:38:44 GMT 2025","TestLoginPage","test_login_page","",""
"","2771","user can add product to basket","tests","Sat Oct 25 23:39:10 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestUserAddToBasketFromProductPage","test_product_page","",""
"","0","guest can go to login page from product page","tests","Sat Oct 25 23:39:13 GMT 2025","skipped","Sat Oct 25 23:39:13 GMT 2025","TestProductPageGuest","test_product_page","",""
"","820","user can see welcome text","tests","Sat Oct 25 23:38:50 GMT 2025","passed","Sat Oct 25 23:38:51 GMT 2025","TestMainPageUserAuthorized","test_main_page","",""
